UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
102,Divinópolis,MG,0.008,0.011,0.012
546,Ituiutaba,MG,0.009,0.011,0.013
24,Araranguá,SC,0.007,0.011,0.013
714,São Miguel do Oeste,SC,0.007,0.011,0.013
580,Maracaju,MS,0.009,0.011,0.012
15,Angical do Piauí,PI,0.009,0.011,0.011
537,Iporá,GO,0.008,0.011,0.013
474,Colíder,MT,0.007,0.011,0.012
243,Patos de Minas,MG,0.008,0.011,0.012
180,Jaú,SP,0.008,0.011,0.012
574,Luís Eduardo Magalhães,BA,0.009,0.011,0.012
255,Picos,PI,0.009,0.011,0.011
392,Araguatins,TO,0.007,0.01,0.011
539,Itaberaba,BA,0.008,0.01,0.011
379,São Miguel do Guaporé,RO,0.009,0.01,0.011
548,Jacobina,BA,0.009,0.01,0.011
221,Muriaé,MG,0.007,0.01,0.012
28,Araruama,RJ,0.007,0.01,0.011
5,Águas de Lindóia,SP,0.008,0.01,0.012
230,Ourinhos,SP,0.008,0.01,0.011
517,Goioerê,PR,0.01,0.01,0.011
505,Soledade,RS,0.007,0.01,0.012
512,Francisco Beltrão,PR,0.008,0.01,0.012
454,Carazinho,RS,0.007,0.01,0.011
285,Lontras,SC,0.008,0.01,0.012
464,Chapada dos Guimarães,MT,0.01,0.01,0.01
489,Crixás,GO,0.01,0.01,0.01
8,Leopoldina,MG,0.007,0.01,0.012
305,São Carlos,SP,0.009,0.01,0.011
92,Colatina,ES,0.006,0.009,0.01
6,Alagoa Nova,PB,0.008,0.009,0.009
649,Portel,PA,0.007,0.009,0.01
506,Euclides da Cunha,BA,0.009,0.009,0.009
715,São Paulo de Olivença,AM,0.006,0.009,0.01
688,Santa Vitória,MG,0.006,0.009,0.011
154,São Borja,RS,0.007,0.009,0.01
622,Palmeira das Missões,RS,0.006,0.009,0.01
542,Itapetinga,BA,0.006,0.009,0.01
82,Novo Horizonte,SP,0.007,0.009,0.01
475,Colinas,MA,0.007,0.009,0.01
54,Brejões,BA,0.007,0.009,0.01
161,Itajubá,MG,0.006,0.009,0.011
359,Venâncio Aires,RS,0.006,0.009,0.011
86,Ceres,GO,0.006,0.009,0.011
353,Umuarama,PR,0.008,0.009,0.009
642,Pires do Rio,GO,0.006,0.009,0.01
619,Ourilândia do Norte,PA,0.008,0.009,0.009
472,Codajás,AM,0.007,0.008,0.008
304,São Carlos,SC,0.005,0.008,0.009
638,Pimenta Bueno,RO,0.007,0.008,0.008
49,Itaperuna,RJ,0.005,0.008,0.009
349,Ubá,MG,0.005,0.008,0.009
617,Oeiras,PI,0.007,0.008,0.008
607,Nonoai,RS,0.005,0.008,0.009
444,Campos Sales,CE,0.007,0.008,0.008
442,Campo Novo do Parecis,MT,0.007,0.008,0.009
207,Manhuaçu,MG,0.005,0.008,0.009
200,Lorena,SP,0.006,0.008,0.009
75,Ubatuba,SP,0.006,0.008,0.009
87,Tietê,SP,0.006,0.008,0.009
232,Paraguaçu Paulista,SP,0.007,0.008,0.009
609,Nova Andradina,MS,0.006,0.008,0.008
510,Formosa do Rio Preto,BA,0.007,0.008,0.008
